@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":21:13:21:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":61:13:61:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":88:13:88:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":118:13:118:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":168:13:168:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":213:13:213:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":232:13:232:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":281:13:281:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":335:13:335:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":657:13:657:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":761:13:761:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":795:13:795:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1059:13:1059:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1369:13:1369:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1396:13:1396:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1441:13:1441:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1474:13:1474:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1492:13:1492:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1518:13:1518:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1559:13:1559:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1581:13:1581:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1599:13:1599:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1616:13:1616:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1635:13:1635:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1652:13:1652:25|User defined pragma syn_black_box detected
@W: CG100 :"E:\MPFS_Projects\Dilithium_HW\component\polarfire_syn_comps.v":1681:13:1681:25|User defined pragma syn_black_box detected
